model_id,display_name,model_family,development_stage,architecture_summary,prediction_type,uses_physics_guidance,uses_kan,uses_safety_guard,uses_uncertainty,uses_abstention,uses_maintenance_policy,parameter_count,checkpoint_size_bytes,training_status,selection_status,benchmark_evaluated,benchmark_access_protocol,source_config,source_metrics,source_checkpoint,notes
tcn_extended_schedule_b,Temporal CNN Candidate - Schedule B,Deep-learning candidate,Phase 5B provenance,"{""architecture"": ""tcn"", ""dilations"": [1, 2, 4, 8], ""dropout"": 0.1, ""hidden_dim"": 72, ""kernel_size"": 3, ""model_id"": ""tcn_extended_schedule_b"", ""schedule_id"": ""schedule_b"", ""window_length"": 50}",point RUL,False,False,False,False,False,False,132121,538665,completed,not selected,False,locked benchmark for selected Patch Transformer; validation only for other candidates,configs/multidomain_temporal_optimization.yaml,reports/deep_rul_extended/extended_model_registry.json,artifacts/deep_rul_extended/checkpoints/stage_a_tcn_extended_schedule_b.pt,
temporal_transformer_sinusoidal_mean_a,Temporal Transformer - Sinusoidal Mean Pooling,Patch/temporal Transformer candidate,Phase 5B provenance,"{""architecture"": ""temporal_transformer"", ""causal_attention"": false, ""dropout"": 0.1, ""feedforward_dim"": 128, ""heads"": 4, ""layers"": 2, ""model_id"": ""temporal_transformer_sinusoidal_mean_a"", ""pooling"": ""mean"", ""positional_encoding"": ""sinusoidal"", ""projection_dim"": 64, ""schedule_id"": ""schedule_a"", ""window_length"": 50}",point RUL,False,False,False,False,False,False,72769,300097,completed,not selected,False,locked benchmark for selected Patch Transformer; validation only for other candidates,configs/multidomain_temporal_optimization.yaml,reports/deep_rul_extended/extended_model_registry.json,artifacts/deep_rul_extended/checkpoints/stage_a_temporal_transformer_sinusoidal_mean_a.pt,
temporal_transformer_learned_attention_b,Temporal Transformer - Learned Attention Pooling,Patch/temporal Transformer candidate,Phase 5B provenance,"{""architecture"": ""temporal_transformer"", ""causal_attention"": false, ""dropout"": 0.15, ""feedforward_dim"": 192, ""heads"": 4, ""layers"": 2, ""model_id"": ""temporal_transformer_learned_attention_b"", ""pooling"": ""attention"", ""positional_encoding"": ""learnable"", ""projection_dim"": 64, ""schedule_id"": ""schedule_b"", ""window_length"": 50}",point RUL,False,False,False,False,False,False,96706,397352,completed,not selected,False,locked benchmark for selected Patch Transformer; validation only for other candidates,configs/multidomain_temporal_optimization.yaml,reports/deep_rul_extended/extended_model_registry.json,artifacts/deep_rul_extended/checkpoints/stage_a_temporal_transformer_learned_attention_b.pt,
patch_transformer_5x5_attention_a,Patch Transformer — 5×5 Patches with Attention Pooling,Patch/temporal Transformer candidate,Phase 5B provenance,"{""architecture"": ""patch_transformer"", ""causal_attention"": false, ""dropout"": 0.1, ""feedforward_dim"": 128, ""heads"": 4, ""layers"": 2, ""model_id"": ""patch_transformer_5x5_attention_a"", ""patch_length"": 5, ""patch_stride"": 5, ""pooling"": ""attention"", ""positional_encoding"": ""sinusoidal"", ""projection_dim"": 64, ""schedule_id"": ""schedule_a"", ""window_length"": 50}",point RUL,False,False,False,False,False,False,77058,318445,completed,not selected,False,locked benchmark for selected Patch Transformer; validation only for other candidates,configs/multidomain_temporal_optimization.yaml,reports/deep_rul_extended/extended_model_registry.json,artifacts/deep_rul_extended/checkpoints/stage_a_patch_transformer_5x5_attention_a.pt,
patch_transformer_10x5_mean_b,Patch Transformer — 10×5 Patches with Mean Pooling,Patch/temporal Transformer candidate,Phase 5B provenance,"{""architecture"": ""patch_transformer"", ""causal_attention"": false, ""dropout"": 0.15, ""feedforward_dim"": 192, ""heads"": 4, ""layers"": 2, ""model_id"": ""patch_transformer_10x5_mean_b"", ""patch_length"": 10, ""patch_stride"": 5, ""pooling"": ""mean"", ""positional_encoding"": ""learnable"", ""projection_dim"": 64, ""schedule_id"": ""schedule_b"", ""window_length"": 50}",point RUL,False,False,False,False,False,False,{'patch_transformer_10x5_mean_b': 89985},{'patch_transformer_10x5_mean_b': 369340},completed,baseline,True,locked benchmark for selected Patch Transformer; validation only for other candidates,configs/multidomain_temporal_optimization.yaml,reports/deep_rul_extended/extended_model_registry.json,artifacts/deep_rul_extended/checkpoints/stage_a_patch_transformer_10x5_mean_b.pt,
phase5b_reimplementation_baseline,Patch Transformer Reimplementation Baseline,Physics-guided Transformer,Phase 5C provenance,Active losses: data,point RUL,False,False,False,False,False,False,89985,376250,success,not selected,False,validation-only for ablations; locked benchmark for selected regime-consistent model,configs/physics_guided_temporal_rul.yaml,reports/physics_guided_rul/screening_metrics.csv,artifacts/physics_guided_rul/checkpoints/screening_phase5b_reimplementation_baseline.pt,
physics_monotonic,Monotonicity-Guided Patch Transformer,Physics-guided Transformer,Phase 5C provenance,"Active losses: data, monotonic",point RUL,True,False,False,False,False,False,89985,375850,success,not selected,False,validation-only for ablations; locked benchmark for selected regime-consistent model,configs/physics_guided_temporal_rul.yaml,reports/physics_guided_rul/screening_metrics.csv,artifacts/physics_guided_rul/checkpoints/screening_physics_monotonic.pt,
physics_cycle_rate,Cycle-Rate-Guided Patch Transformer,Physics-guided Transformer,Phase 5C provenance,"Active losses: data, rate",point RUL,True,False,False,False,False,False,94210,394903,success,not selected,False,validation-only for ablations; locked benchmark for selected regime-consistent model,configs/physics_guided_temporal_rul.yaml,reports/physics_guided_rul/screening_metrics.csv,artifacts/physics_guided_rul/checkpoints/screening_physics_cycle_rate.pt,
physics_smooth,Smoothness-Guided Patch Transformer,Physics-guided Transformer,Phase 5C provenance,"Active losses: data, smooth",point RUL,True,False,False,False,False,False,89985,376123,success,not selected,False,validation-only for ablations; locked benchmark for selected regime-consistent model,configs/physics_guided_temporal_rul.yaml,reports/physics_guided_rul/screening_metrics.csv,artifacts/physics_guided_rul/checkpoints/screening_physics_smooth.pt,
physics_health,Health-Guided Patch Transformer,Physics-guided Transformer,Phase 5C provenance,"Active losses: data, health, health_monotonic",point RUL,True,False,False,False,False,False,94210,395315,success,not selected,False,validation-only for ablations; locked benchmark for selected regime-consistent model,configs/physics_guided_temporal_rul.yaml,reports/physics_guided_rul/screening_metrics.csv,artifacts/physics_guided_rul/checkpoints/screening_physics_health.pt,
physics_regime,Regime-Consistent Physics-Guided Patch Transformer,Physics-guided Transformer,Phase 5C provenance,"Active losses: data, regime",point RUL,True,False,False,False,False,False,89985,376763,success,selected backbone,True,validation-only for ablations; locked benchmark for selected regime-consistent model,configs/physics_guided_temporal_rul.yaml,reports/physics_guided_rul/screening_metrics.csv,artifacts/physics_guided_rul/checkpoints/screening_physics_regime.pt,
physics_temporal_combined,Temporally Combined Physics-Guided Patch Transformer,Physics-guided Transformer,Phase 5C provenance,"Active losses: data, monotonic, rate, smooth",point RUL,True,False,False,False,False,False,94210,394998,success,not selected,False,validation-only for ablations; locked benchmark for selected regime-consistent model,configs/physics_guided_temporal_rul.yaml,reports/physics_guided_rul/screening_metrics.csv,artifacts/physics_guided_rul/checkpoints/screening_physics_temporal_combined.pt,
physics_full,Full Physics-Guided Patch Transformer,Physics-guided Transformer,Phase 5C provenance,"Active losses: data, monotonic, rate, smooth, health, health_monotonic, regime, nonnegative",point RUL,True,False,False,False,False,False,98435,413137,success,not selected,False,validation-only for ablations; locked benchmark for selected regime-consistent model,configs/physics_guided_temporal_rul.yaml,reports/physics_guided_rul/screening_metrics.csv,artifacts/physics_guided_rul/checkpoints/screening_physics_full.pt,
physics_full_safety,Full Physics-and-Safety Patch Transformer,Physics-guided Transformer,Phase 5C provenance,"Active losses: data, monotonic, rate, smooth, health, health_monotonic, regime, nonnegative, optimistic",point RUL,True,False,False,False,False,False,98435,413516,success,not selected,False,validation-only for ablations; locked benchmark for selected regime-consistent model,configs/physics_guided_temporal_rul.yaml,reports/physics_guided_rul/screening_metrics.csv,artifacts/physics_guided_rul/checkpoints/screening_physics_full_safety.pt,
phase5c_frozen_baseline,Regime-Consistent Physics-Guided Patch Transformer,Residual-correction control,Phase 5D provenance,baseline,point RUL,True,False,False,False,False,False,,,completed,not selected,False,KAN benchmark for locked compact corrector; validation-only for screening controls,configs/aerokan_rul_corrector.yaml,reports/aerokan_phm/screening_metrics.csv,,
linear_ridge_residual,Linear Residual Corrector,Residual-correction control,Phase 5D provenance,linear_residual,point RUL,True,False,False,False,False,False,,,completed,not selected,False,KAN benchmark for locked compact corrector; validation-only for screening controls,configs/aerokan_rul_corrector.yaml,reports/aerokan_phm/screening_metrics.csv,,
small_mlp_residual,MLP Residual Corrector,Residual-correction control,Phase 5D provenance,mlp_residual,point RUL,True,False,False,False,False,False,,,completed,not selected,False,KAN benchmark for locked compact corrector; validation-only for screening controls,configs/aerokan_rul_corrector.yaml,reports/aerokan_phm/screening_metrics.csv,,
direct_additive_kan_rul,Direct Additive KAN RUL Head,AeroKAN experimental branch,Phase 5D provenance,direct_kan,point RUL,True,True,False,False,False,False,,,completed,not selected,False,KAN benchmark for locked compact corrector; validation-only for screening controls,configs/aerokan_rul_corrector.yaml,reports/aerokan_phm/screening_metrics.csv,,
sparse_kan_residual_bound10,Sparse Additive KAN Residual Corrector (Bound 10),AeroKAN experimental branch,Phase 5D provenance,kan_residual,point RUL,True,True,False,False,False,False,,,completed,not selected,False,KAN benchmark for locked compact corrector; validation-only for screening controls,configs/aerokan_rul_corrector.yaml,reports/aerokan_phm/screening_metrics.csv,,
sparse_kan_residual_bound20,Sparse Additive KAN Residual Corrector (Bound 20),AeroKAN experimental branch,Phase 5D provenance,kan_residual,point RUL,True,True,False,False,False,False,,,completed,not selected,False,KAN benchmark for locked compact corrector; validation-only for screening controls,configs/aerokan_rul_corrector.yaml,reports/aerokan_phm/screening_metrics.csv,,
sparse_kan_residual_bound30,Sparse Additive KAN Residual Corrector (Bound 30),AeroKAN experimental branch,Phase 5D provenance,kan_residual,point RUL,True,True,False,False,False,False,,,completed,not selected,False,KAN benchmark for locked compact corrector; validation-only for screening controls,configs/aerokan_rul_corrector.yaml,reports/aerokan_phm/screening_metrics.csv,,
safety_weighted_sparse_kan,Safety-Weighted Sparse KAN Corrector,AeroKAN experimental branch,Phase 5D provenance,kan_residual,point RUL,True,True,False,False,False,False,,,completed,not selected,False,KAN benchmark for locked compact corrector; validation-only for screening controls,configs/aerokan_rul_corrector.yaml,reports/aerokan_phm/screening_metrics.csv,,
regime_aware_sparse_kan,Regime-Aware KAN Corrector,AeroKAN experimental branch,Phase 5D provenance,kan_residual,point RUL,True,True,False,False,False,False,,,completed,not selected,False,KAN benchmark for locked compact corrector; validation-only for screening controls,configs/aerokan_rul_corrector.yaml,reports/aerokan_phm/screening_metrics.csv,,
two_layer_compact_kan_h4,AeroKAN-PHM Compact Residual Corrector (h=4),AeroKAN experimental branch,Phase 5D provenance,kan_residual,point RUL,True,True,False,False,False,False,,,completed,not selected,False,KAN benchmark for locked compact corrector; validation-only for screening controls,configs/aerokan_rul_corrector.yaml,reports/aerokan_phm/screening_metrics.csv,,
two_layer_compact_kan_h8,AeroKAN-PHM Compact Residual Corrector,AeroKAN experimental branch,Phase 5D provenance,kan_residual,point RUL,True,True,False,True,True,True,,12697,completed,"experimental, not final selected",True,KAN benchmark for locked compact corrector; validation-only for screening controls,configs/aerokan_rul_corrector.yaml,reports/aerokan_phm/screening_metrics.csv,artifacts/aerokan_phm/aerokan_corrector.pt,
phase5c_exact_fallback,Frozen Physics-Guided Baseline Fallback,Selective residual safety correction,Phase 5D.1 provenance,baseline,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
constant_downward_bound5,Constant Downward Bound5,Selective residual safety correction,Phase 5D.1 provenance,constant,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
linear_nonnegative_bound5,Linear Nonnegative Bound5,Selective residual safety correction,Phase 5D.1 provenance,linear_nonnegative,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
mlp_magnitude_bound5,MLP Magnitude Bound5,Selective residual safety correction,Phase 5D.1 provenance,mlp_magnitude,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
single_layer_sparse_additive_kan_bound5,Single Layer Sparse Additive KAN Bound5,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
safety_weighted_sparse_additive_kan_bound5,Safety Weighted Sparse Additive KAN Bound5,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
regime_shrinkage_additive_kan_bound5,Regime Shrinkage Additive KAN Bound5,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
constant_downward_bound10,Constant Downward Bound10,Selective residual safety correction,Phase 5D.1 provenance,constant,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
linear_nonnegative_bound10,Linear Nonnegative Bound10,Selective residual safety correction,Phase 5D.1 provenance,linear_nonnegative,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
mlp_magnitude_bound10,MLP Magnitude Bound10,Selective residual safety correction,Phase 5D.1 provenance,mlp_magnitude,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
single_layer_sparse_additive_kan_bound10,Single Layer Sparse Additive KAN Bound10,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
safety_weighted_sparse_additive_kan_bound10,Safety Weighted Sparse Additive KAN Bound10,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
regime_shrinkage_additive_kan_bound10,Regime Shrinkage Additive KAN Bound10,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
constant_downward_bound15,Constant Downward Bound15,Selective residual safety correction,Phase 5D.1 provenance,constant,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
linear_nonnegative_bound15,Linear Nonnegative Bound15,Selective residual safety correction,Phase 5D.1 provenance,linear_nonnegative,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
mlp_magnitude_bound15,MLP Magnitude Bound15,Selective residual safety correction,Phase 5D.1 provenance,mlp_magnitude,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
single_layer_sparse_additive_kan_bound15,Single Layer Sparse Additive KAN Bound15,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
safety_weighted_sparse_additive_kan_bound15,Safety Weighted Sparse Additive KAN Bound15,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
regime_shrinkage_additive_kan_bound15,Regime Shrinkage Additive KAN Bound15,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
constant_downward_bound20,Constant Downward Bound20,Selective residual safety correction,Phase 5D.1 provenance,constant,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
linear_nonnegative_bound20,Linear Nonnegative Bound20,Selective residual safety correction,Phase 5D.1 provenance,linear_nonnegative,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
mlp_magnitude_bound20,MLP Magnitude Bound20,Selective residual safety correction,Phase 5D.1 provenance,mlp_magnitude,point RUL,True,False,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
single_layer_sparse_additive_kan_bound20,Single Layer Sparse Additive KAN Bound20,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
safety_weighted_sparse_additive_kan_bound20,Safety Weighted Sparse Additive KAN Bound20,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
regime_shrinkage_additive_kan_bound20,Regime Shrinkage Additive KAN Bound20,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,True,True,False,False,False,,,completed,not selected,False,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,,
phase5d_two_layer_one_sided_control_bound20,Selective One-Sided AeroKAN Safety Corrector,Selective residual safety correction,Phase 5D.1 provenance,one_sided_kan,point RUL,True,False,True,False,False,False,,,completed,selected experimental safety corrector,True,validation-only screening; benchmark for locked selective system,configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/correction_screening_metrics.csv,artifacts/aerokan_phm_selective/one_sided_kan_checkpoint.pt,
selective_one_sided_aerokan_safety_corrector,Selective One-Sided AeroKAN Safety Corrector,Selective AeroKAN safety correction,Phase 5D.1 provenance,Locked one-sided AeroKAN experimental safety corrector with learned gate and downward-only correction.,point RUL,True,True,True,True,True,True,,,completed,"experimental, not final selected",True,"locked benchmark, not final selected due insufficient gate coverage",configs/selective_aerokan_safety_corrector.yaml,reports/aerokan_phm_selective/benchmark_metrics.json,artifacts/aerokan_phm_selective/one_sided_kan_checkpoint.pt,
critical_boundary_safety_guarded_transformer,Critical-Boundary Safety-Guarded Physics-Guided Transformer,Safety-guarded Transformer,Phase 5D.2 provenance,Critical-Boundary Safety-Guarded Physics-Guided Patch Transformer,point RUL,True,False,True,True,False,True,89985,376106,frozen; no training in final release,final selected system,True,locked critical-boundary guard benchmark with no benchmark-based retuning,configs/critical_gate_aerokan_corrector.yaml,reports/aerokan_phm_critical_gate/benchmark_metrics.json,artifacts/physics_guided_rul/checkpoints/locked_physics_guided_model.pt,Final deployed system is not a KAN model; the guard is deterministic.
aeroguard_phm_safety_guarded_rul_system,AeroGuard-PHM Safety-Guarded RUL System,Complete deployment pipeline,Phase 6 release provenance,"Regime-aware preprocessing, physics-guided Transformer, critical-boundary safety guard, conformal uncertainty, support/review logic, and maintenance policy.",complete RUL decision-support response,True,False,True,True,False,True,,,frozen; no training in final release,final selected system,True,inherits frozen model and safety benchmark from the selected final system,artifacts/final_release/frozen_system_manifest.json,reports/final_release/headline_model_comparison.csv,,
