model_id,display_name,development_stage,selection_status
mlp_magnitude_bound10,MLP Magnitude Bound10,Phase 5D.1 provenance,not selected
single_layer_sparse_additive_kan_bound10,Single Layer Sparse Additive KAN Bound10,Phase 5D.1 provenance,not selected
safety_weighted_sparse_additive_kan_bound10,Safety Weighted Sparse Additive KAN Bound10,Phase 5D.1 provenance,not selected
regime_shrinkage_additive_kan_bound10,Regime Shrinkage Additive KAN Bound10,Phase 5D.1 provenance,not selected
constant_downward_bound15,Constant Downward Bound15,Phase 5D.1 provenance,not selected
linear_nonnegative_bound15,Linear Nonnegative Bound15,Phase 5D.1 provenance,not selected
mlp_magnitude_bound15,MLP Magnitude Bound15,Phase 5D.1 provenance,not selected
single_layer_sparse_additive_kan_bound15,Single Layer Sparse Additive KAN Bound15,Phase 5D.1 provenance,not selected
safety_weighted_sparse_additive_kan_bound15,Safety Weighted Sparse Additive KAN Bound15,Phase 5D.1 provenance,not selected
regime_shrinkage_additive_kan_bound15,Regime Shrinkage Additive KAN Bound15,Phase 5D.1 provenance,not selected
constant_downward_bound20,Constant Downward Bound20,Phase 5D.1 provenance,not selected
linear_nonnegative_bound20,Linear Nonnegative Bound20,Phase 5D.1 provenance,not selected
mlp_magnitude_bound20,MLP Magnitude Bound20,Phase 5D.1 provenance,not selected
single_layer_sparse_additive_kan_bound20,Single Layer Sparse Additive KAN Bound20,Phase 5D.1 provenance,not selected
safety_weighted_sparse_additive_kan_bound20,Safety Weighted Sparse Additive KAN Bound20,Phase 5D.1 provenance,not selected
regime_shrinkage_additive_kan_bound20,Regime Shrinkage Additive KAN Bound20,Phase 5D.1 provenance,not selected
phase5d_two_layer_one_sided_control_bound20,Selective One-Sided AeroKAN Safety Corrector,Phase 5D.1 provenance,selected experimental safety corrector
selective_one_sided_aerokan_safety_corrector,Selective One-Sided AeroKAN Safety Corrector,Phase 5D.1 provenance,"experimental, not final selected"
critical_boundary_safety_guarded_transformer,Critical-Boundary Safety-Guarded Physics-Guided Transformer,Phase 5D.2 provenance,final selected system
aeroguard_phm_safety_guarded_rul_system,AeroGuard-PHM Safety-Guarded RUL System,Phase 6 release provenance,final selected system
